timestep,avg_speed,congestion_fraction
786,21.304877,0.732000
787,21.381172,0.743000
788,21.497067,0.740000
789,21.703894,0.736000
790,21.864896,0.733000
791,21.646353,0.734000
792,21.741222,0.737000
793,21.688783,0.736000
794,21.768395,0.740000
795,22.150182,0.730000
796,22.211129,0.728000
797,21.956785,0.730000
798,22.174743,0.724000
799,22.347634,0.714000
800,22.192867,0.707000
801,22.238457,0.710000
802,22.168551,0.715000
803,22.371159,0.710000
804,22.187779,0.713000
805,22.382485,0.714000
806,22.419507,0.721000
807,22.569394,0.713000
808,22.406532,0.714000
809,22.633079,0.713000
810,22.811525,0.723000
811,22.564880,0.714000
812,22.429077,0.725000
813,22.340764,0.715000
814,22.381721,0.718000
815,22.427793,0.709000
816,22.520747,0.702000
817,22.884700,0.694000
818,22.728144,0.708000
819,22.480659,0.720000
820,22.671128,0.705000
821,22.550154,0.709000
822,22.498484,0.715000
823,22.304806,0.719000
824,21.937616,0.726000
825,21.770325,0.721000
826,21.946982,0.728000
827,21.859475,0.722000
828,21.817025,0.722000
829,21.579140,0.716000
830,21.504834,0.722000
831,20.949342,0.725000
832,20.990637,0.734000
833,21.086353,0.734000
834,20.909956,0.739000
835,20.735568,0.740000
836,20.657199,0.748000
837,20.934652,0.753000
838,21.161135,0.745000
839,21.488345,0.735000
840,21.451642,0.747000
841,21.497923,0.736000
842,21.660967,0.737000
843,21.789481,0.740000
844,21.530691,0.754000
845,21.583147,0.746000
846,21.846152,0.741000
847,21.602716,0.745000
848,21.454488,0.749000
849,20.988842,0.751000
850,20.960453,0.753000
851,21.142173,0.748000
852,20.838061,0.747000
853,21.155908,0.743000
854,21.424633,0.732000
855,21.647993,0.725000
856,21.797974,0.726000
857,21.923171,0.730000
858,21.818197,0.731000
859,21.971226,0.726000
860,21.510463,0.733000
861,21.783094,0.725000
862,21.624479,0.740000
863,21.531760,0.739000
864,21.448739,0.744000
865,21.758409,0.743000
866,21.651802,0.742000
867,21.280070,0.751000
868,21.112891,0.747000
869,21.164593,0.744000
870,21.150154,0.747000
871,21.021789,0.747000
872,21.010787,0.744000
873,21.209561,0.746000
874,21.438449,0.729000
875,21.355269,0.737000
876,21.519989,0.736000
877,21.613115,0.724000
878,21.620252,0.720000
879,21.697045,0.720000
880,21.511128,0.740000
881,21.637427,0.738000
882,21.863140,0.740000
883,21.905971,0.741000
884,21.756275,0.749000
885,21.633340,0.746000
886,21.602605,0.744000
887,21.559067,0.745000
888,21.161134,0.744000
889,20.882833,0.753000
890,21.311537,0.746000
891,21.456069,0.742000
892,21.566996,0.738000
893,21.410433,0.731000
894,21.586428,0.728000
895,21.506333,0.728000
896,21.430072,0.728000
897,21.353672,0.734000
898,21.071155,0.745000
899,21.204621,0.731000
900,21.226864,0.738000
901,21.207760,0.746000
902,20.917169,0.753000
903,21.036624,0.757000
904,21.336604,0.747000
905,21.485465,0.742000
906,21.554050,0.736000
907,21.504736,0.740000
908,21.348570,0.749000
909,21.623638,0.744000
910,21.828877,0.726000
911,22.084261,0.719000
912,21.906567,0.716000
913,21.704711,0.724000
914,21.302579,0.733000
915,21.622412,0.728000
916,22.117504,0.707000
917,22.195128,0.710000
918,22.628093,0.705000
919,22.251384,0.716000
920,21.955020,0.724000
921,21.953015,0.723000
922,21.840331,0.722000
923,21.794039,0.730000
924,21.715794,0.730000
925,21.443910,0.728000
926,21.337494,0.740000
927,21.706699,0.726000
928,21.642023,0.729000
929,21.524863,0.726000
930,21.706261,0.724000
931,21.677939,0.727000
932,21.509266,0.736000
933,21.380752,0.746000
934,21.235062,0.734000
935,21.422323,0.736000
936,21.640561,0.728000
937,21.918026,0.727000
938,22.237342,0.724000
939,22.406277,0.728000
940,22.250813,0.728000
941,21.966511,0.727000
942,21.881125,0.717000
943,21.927146,0.708000
944,21.934697,0.712000
945,21.989864,0.720000
946,21.979973,0.712000
947,22.191901,0.712000
948,22.243245,0.716000
949,21.919744,0.726000
950,21.926037,0.718000
951,21.856327,0.719000
952,21.815489,0.717000
953,21.561418,0.727000
954,21.247154,0.741000
955,21.072296,0.747000
956,20.981397,0.757000
957,20.882034,0.758000
958,20.747465,0.756000
959,20.735405,0.757000
960,20.699730,0.757000
961,20.755257,0.760000
962,20.710091,0.757000
963,21.104562,0.746000
964,20.833625,0.762000
965,21.233559,0.754000
966,21.231195,0.750000
967,21.231851,0.750000
968,21.072680,0.746000
969,21.282909,0.732000
970,21.193939,0.734000
971,21.041683,0.739000
972,21.194731,0.733000
973,21.076254,0.734000
974,20.844136,0.740000
975,20.840734,0.745000
976,20.710406,0.753000
977,21.057571,0.750000
978,20.970026,0.750000
979,20.977696,0.751000
980,21.250685,0.742000
981,21.195166,0.735000
982,21.049885,0.740000
983,21.033514,0.743000
984,20.757674,0.742000
985,21.145093,0.741000
986,21.378169,0.733000
987,21.422660,0.731000
988,21.778357,0.724000
989,21.993804,0.721000
990,21.918305,0.722000
991,21.693679,0.726000
992,21.787023,0.731000
993,21.752231,0.736000
994,21.901190,0.721000
995,21.888415,0.726000
996,21.829420,0.730000
997,22.065602,0.724000
998,22.195139,0.714000
999,22.292798,0.719000
